2.2812 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
115.7864 	EXP 	grating: ori = -3.0
115.7864 	EXP 	Fixation: autoDraw = True
116.7864 	EXP 	Fixation: autoDraw = False
116.7864 	EXP 	grating: autoDraw = True
117.0856 	EXP 	grating: autoDraw = False
117.3416 	EXP 	New trial (rep=56, index=0): None
117.3446 	DATA 	Keypress: down
117.3523 	EXP 	Fixation: autoDraw = False
117.3523 	EXP 	grating: autoDraw = False
117.3523 	EXP 	grating: ori = 0.0
117.3523 	EXP 	Fixation: autoDraw = True
118.3517 	EXP 	Fixation: autoDraw = False
118.3517 	EXP 	grating: autoDraw = True
118.6523 	EXP 	grating: autoDraw = False
119.0739 	EXP 	New trial (rep=57, index=0): None
119.0770 	DATA 	Keypress: up
119.0859 	EXP 	Fixation: autoDraw = False
119.0859 	EXP 	grating: autoDraw = False
119.0859 	EXP 	grating: ori = 0.0
119.0859 	EXP 	Fixation: autoDraw = True
120.0853 	EXP 	Fixation: autoDraw = False
120.0853 	EXP 	grating: autoDraw = True
120.3856 	EXP 	grating: autoDraw = False
120.8238 	EXP 	New trial (rep=58, index=0): None
120.8270 	DATA 	Keypress: up
120.8352 	EXP 	Fixation: autoDraw = False
120.8352 	EXP 	grating: autoDraw = False
120.8352 	EXP 	grating: ori = 0.0
120.8352 	EXP 	Fixation: autoDraw = True
121.8356 	EXP 	Fixation: autoDraw = False
121.8356 	EXP 	grating: autoDraw = True
122.1353 	EXP 	grating: autoDraw = False
122.5733 	EXP 	New trial (rep=59, index=0): None
122.5764 	DATA 	Keypress: up
122.5855 	EXP 	Fixation: autoDraw = False
122.5855 	EXP 	grating: autoDraw = False
122.5855 	EXP 	grating: ori = 4.0
122.5855 	EXP 	Fixation: autoDraw = True
123.5849 	EXP 	Fixation: autoDraw = False
123.5849 	EXP 	grating: autoDraw = True
123.8851 	EXP 	grating: autoDraw = False
124.3233 	EXP 	New trial (rep=60, index=0): None
124.3263 	DATA 	Keypress: down
124.3345 	EXP 	Fixation: autoDraw = False
